Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,15,15.000,3134,5931,29982,244581,50472,97968,3246423,3246423,3246423
1,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,4,4.000,1699,33383,206695,323673,1052917,1052917,1052917,1052917,1052917
4,2,2.000,11693,11693,17172,14432,17172,17172,17172,17172,17172
5,1,1.000,1652297,1652297,1652297,1652297,1652297,1652297,1652297,1652297,1652297
6,7,7.000,3961,5497,11032,49500,111399,188942,188942,188942,188942
7,2,2.000,2028,2028,3190750,1596389,3190750,3190750,3190750,3190750,3190750
8,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,12,12.000,1200,8717,12315,141680,23556,76072,1512884,1512884,1512884
11,11,11.000,1967,5701,8407,9627,14655,15416,18664,18664,18664
12,3,3.000,5281,5281,10385,505233,1500034,1500034,1500034,1500034,1500034
13,14,14.000,1102,5176,8644,117101,12520,14014,1541143,1541143,1541143
14,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,9,9.000,1060,3557,6632,101526,12219,861124,861124,861124,861124
16,1,1.000,1487945,1487945,1487945,1487945,1487945,1487945,1487945,1487945,1487945
17,4,4.000,3939,5424,22964,438273,1720765,1720765,1720765,1720765,1720765
18,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,9,9.000,6852,14223,16430,225709,72248,1770172,1770172,1770172,1770172
20,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,19,19.000,1266,2567,7903,98556,63754,97153,1456675,1456675,1456675
22,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,13,13.000,1132,4560,7729,129242,12803,59135,1505172,1505172,1505172
24,10,10.000,1073,5313,6910,258926,7973,2527390,2527390,2527390,2527390
25,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,10,10.000,1999,5989,7487,111277,12854,887382,887382,887382,887382
28,1,1.000,1450114,1450114,1450114,1450114,1450114,1450114,1450114,1450114,1450114
29,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,12,12.000,950,5319,6376,77456,9861,18405,855464,855464,855464
31,5,5.000,963,5796,6544,291104,6562,1435655,1435655,1435655,1435655
32,7,7.000,4932,5018,5436,135147,52308,855912,855912,855912,855912
33,4,4.000,3034,4083,10570,392898,1553905,1553905,1553905,1553905,1553905
34,2,2.000,11229,11229,58043,34636,58043,58043,58043,58043,58043
35,7,7.000,1519,2019,4221,145262,64784,934240,934240,934240,934240
36,8,8.000,1014,4275,6951,183008,10717,1425079,1425079,1425079,1425079
37,17,17.000,1347,5844,8461,106908,18108,64303,1554847,1554847,1554847
38,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,8,8.000,3755,6164,14449,128280,76822,891127,891127,891127,891127
40,4,4.000,1714,4782,4881,367037,1456774,1456774,1456774,1456774,1456774
41,2,2.000,17293,17293,887047,452170,887047,887047,887047,887047,887047
42,4,4.000,3928,9289,52838,227975,845845,845845,845845,845845,845845
43,5,5.000,5722,5898,10991,342989,87891,1604445,1604445,1604445,1604445
44,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,13,13.000,2135,6338,16282,129103,24545,59790,1457553,1457553,1457553
46,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,12,12.000,833,3388,5271,127254,7778,54281,1429045,1429045,1429045
48,1,1.000,856854,856854,856854,856854,856854,856854,856854,856854,856854
49,11,11.000,1156,2968,3195,134148,8545,12110,1425247,1425247,1425247
50,2,2.000,19706,19706,49650,34678,49650,49650,49650,49650,49650
51,13,13.000,4976,5388,7289,79263,9990,53749,856749,856749,856749
52,1,1.000,1467279,1467279,1467279,1467279,1467279,1467279,1467279,1467279,1467279
53,7,7.000,1586,2320,5164,213503,7056,1467685,1467685,1467685,1467685
54,1,1.000,10816,10816,10816,10816,10816,10816,10816,10816,10816
55,6,6.000,5826,7173,11762,252603,65422,1416494,1416494,1416494,1416494
56,9,9.000,3346,4859,16160,176078,54144,1416220,1416220,1416220,1416220
57,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
58,9,9.000,1104,4940,6958,172506,14874,1447053,1447053,1447053,1447053
59,7,7.000,6251,6332,7689,14890,11070,57299,57299,57299,57299
