Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,179.800,1.560,0.467,0.650,0.870,1.395,2.681,4.275,8.607,154.189,0.641
5,157.600,1.425,0.461,0.631,0.798,1.126,2.314,4.337,12.560,36.091,0.702
10,123.800,1.601,0.478,0.697,0.930,1.645,2.920,4.018,9.823,58.762,0.624
15,111.400,1.286,0.475,0.627,0.779,1.358,2.380,3.713,8.142,12.797,0.778
20,15.400,5.891,0.750,1.972,3.223,4.843,14.517,31.391,36.297,36.297,0.170
25,160.000,1.262,0.424,0.596,0.748,1.200,2.373,3.450,8.560,24.336,0.793
30,192.400,1.081,0.476,0.620,0.741,0.996,1.616,2.377,6.344,27.704,0.925
35,147.000,1.383,0.427,0.617,0.749,1.125,2.261,4.307,13.262,25.632,0.723
40,194.400,1.094,0.446,0.621,0.739,1.031,1.765,2.661,6.661,33.004,0.914
45,155.600,1.460,0.445,0.617,0.767,1.135,2.819,4.709,14.577,22.338,0.685
50,91.600,2.420,0.545,0.837,1.237,2.578,4.942,8.537,14.245,68.429,0.413
55,112.800,1.864,0.466,0.725,0.933,1.550,3.370,4.862,11.625,136.354,0.536
